model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,59.27116775512695,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,16,fp16,59.25990295410156,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,16,fp32,82.1032943725586,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,32,bf16,77.55213165283203,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,32,fp16,78.72767639160156,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,32,fp32,125.58541107177734,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,64,bf16,107.43961334228516,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,64,fp16,105.3460464477539,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,64,64,fp32,209.37062072753903,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,16,bf16,107.92345428466795,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,16,fp16,106.06233978271484,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,16,fp32,210.5523223876953,False,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,32,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,32,fp16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,32,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,64,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,64,fp16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,16,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,16,fp16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,16,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,32,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,32,fp16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,16,bf16,9.10489559173584,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,16,fp16,8.565759658813477,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,16,fp32,11.159040451049805,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,32,bf16,13.080575942993164,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,32,fp16,12.07859230041504,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,32,fp32,16.998912811279297,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,64,bf16,20.03455924987793,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,64,fp16,17.39366340637207,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,64,64,fp32,29.4149112701416,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,16,bf16,19.11756706237793,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,16,fp16,16.57036781311035,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,16,fp32,25.9998722076416,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,32,bf16,32.51251220703125,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,32,fp16,28.15897560119629,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,32,fp32,47.592960357666016,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,64,bf16,59.59116744995117,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,64,fp16,51.46828842163086,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,128,64,fp32,90.80934143066406,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,16,bf16,52.05708694458008,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,16,fp16,46.011905670166016,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,16,fp32,83.91321563720703,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,32,bf16,96.43878173828124,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,32,fp16,83.3407974243164,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,32,fp32,238.87974548339844,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_0_rw_224,224,64,bf16,623.6380004882812,False,NVIDIA_GeForce_RTX_3070_Ti,8,slow_outlier
coatnet_0_rw_224,224,64,fp16,600.9574584960938,False,NVIDIA_GeForce_RTX_3070_Ti,8,slow_outlier
coatnet_0_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,16,bf16,14.98521614074707,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,16,fp16,13.636608123779297,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,16,fp32,18.646528244018555,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,32,bf16,21.76563262939453,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,32,fp16,19.644927978515625,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,32,fp32,28.59980773925781,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,64,bf16,33.490943908691406,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,64,fp16,29.743104934692383,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,64,64,fp32,49.7628173828125,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,16,bf16,32.075775146484375,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,16,fp16,28.339712142944336,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,16,fp32,44.57727813720703,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,32,bf16,54.8961296081543,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,32,fp16,48.648704528808594,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,32,fp32,82.33267211914062,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,64,bf16,100.83020782470705,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,64,fp16,88.85913848876953,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,16,bf16,89.50732421875,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,16,fp16,81.35987091064453,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,16,fp32,149.9146270751953,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,32,bf16,166.93862915039062,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,32,fp16,147.69203186035156,False,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
coatnet_1_rw_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_3070_Ti,8,
