model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,40.31027221679688,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,16,fp16,40.22886276245117,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,16,fp32,52.72012710571289,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,32,bf16,48.4398078918457,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,32,fp16,48.068607330322266,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,32,fp32,74.37260437011719,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,64,bf16,63.96569442749024,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,64,fp16,63.6759033203125,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,64,64,fp32,121.76435089111328,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,16,bf16,64.1976318359375,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,16,fp16,63.96364974975586,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,16,fp32,120.18892669677734,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,32,bf16,93.65094757080078,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,32,fp16,91.10425567626952,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,32,fp32,210.3362579345703,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,64,bf16,158.2750701904297,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,64,fp16,157.4783935546875,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,128,64,fp32,376.3824768066406,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
beit_large_patch16_224,224,16,bf16,134.96780395507812,False,NVIDIA_GeForce_RTX_4070_Ti_SUPER,16,
