model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,35.41486358642578,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,16,fp16,35.41191864013672,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,16,fp32,46.60478210449219,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,32,bf16,42.96529769897461,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,32,fp16,42.81393432617188,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,32,fp32,65.76537322998047,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,64,bf16,56.21401596069336,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,64,fp16,55.96518325805664,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,64,64,fp32,102.65548706054688,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,16,bf16,56.44009780883789,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,16,fp16,56.22824096679688,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,16,fp32,101.71078491210938,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,32,bf16,83.59219360351562,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,32,fp16,82.57177734375,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,32,fp32,176.505615234375,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,64,bf16,137.333251953125,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,64,fp16,136.61129760742188,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,128,64,fp32,330.6275939941406,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,16,bf16,112.76337432861328,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,16,fp16,111.91390228271484,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,16,fp32,254.67800903320312,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,32,bf16,202.71820068359372,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,32,fp16,201.406982421875,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_4080_SUPER,16,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,16,bf16,6.142816066741943,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,16,fp16,5.785600185394287,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,16,fp32,6.436783790588379,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,32,bf16,7.590672016143799,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,32,fp16,6.931903839111328,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,32,fp32,8.820223808288574,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,64,bf16,10.690848350524902,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,64,fp16,9.587712287902832,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,64,64,fp32,13.591312408447266,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,16,bf16,10.35264015197754,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,16,fp16,9.380640029907228,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,16,fp32,12.460368156433104,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,32,bf16,16.015871047973633,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,32,fp16,14.339584350585938,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,32,fp32,23.434703826904297,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,64,bf16,29.625856399536133,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,64,fp16,26.304000854492188,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,128,64,fp32,49.247745513916016,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,16,bf16,24.48721694946289,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,16,fp16,21.934080123901367,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,16,fp32,40.91988754272461,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,32,bf16,48.86307144165039,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,32,fp16,44.17420959472656,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,32,fp32,85.99756622314453,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,64,bf16,99.76315307617188,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,64,fp16,91.04998779296876,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_0_rw_224,224,64,fp32,179.9536590576172,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,16,bf16,10.019184112548828,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,16,fp16,9.487360000610352,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,16,fp32,10.605055809020996,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,32,bf16,12.478431701660156,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,32,fp16,11.52190399169922,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,32,fp32,14.97599983215332,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,64,bf16,18.131967544555664,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,64,fp16,16.612863540649414,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,64,64,fp32,24.332735061645508,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,16,bf16,17.591808319091797,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,16,fp16,16.260095596313477,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,16,fp32,22.452207565307617,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,32,bf16,28.14156723022461,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,32,fp16,25.83945655822754,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,32,fp32,41.78022384643555,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,64,bf16,51.51887893676758,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,64,fp16,46.97395324707031,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,128,64,fp32,86.37747192382812,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,16,bf16,43.5721435546875,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,16,fp16,39.93753433227539,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,16,fp32,73.90306854248047,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,32,bf16,84.79828643798828,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,32,fp16,78.68046569824219,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,32,fp32,152.8739776611328,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,64,bf16,172.1107635498047,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,64,fp16,161.30712890625,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_1_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_2_rw_224,64,16,bf16,14.186271667480469,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_2_rw_224,64,16,fp16,13.268848419189451,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_2_rw_224,64,16,fp32,15.392255783081056,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_2_rw_224,64,32,bf16,18.25331115722656,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
coatnet_2_rw_224,64,32,fp16,17.051136016845703,False,NVIDIA_GeForce_RTX_4080_SUPER,16,
