model,img_size,batch_size,precision,avg_time_ms,oom,gpu,vram_gb,cleanup
beit_large_patch16_224,64,16,bf16,40.826446533203125,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,16,fp16,40.74705505371094,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,16,fp32,60.792110443115234,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,32,bf16,49.81939315795898,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,32,fp16,49.70662307739258,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,32,fp32,86.69172668457031,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,64,bf16,68.7732162475586,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,64,fp16,68.58209228515625,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,64,64,fp32,145.82659912109375,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,16,bf16,69.20848083496094,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,16,fp16,69.00489807128906,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,16,fp32,145.73074340820312,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,32,bf16,106.06635284423828,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,32,fp16,106.00714874267578,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,32,fp32,265.13983154296875,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,64,bf16,190.9505157470703,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,64,fp16,190.2227935791016,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,128,64,fp32,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,16,bf16,157.54629516601562,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,16,fp16,157.10926818847656,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,16,fp32,402.8250732421875,False,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,32,bf16,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,32,fp16,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,32,fp32,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_5070,12,
beit_large_patch16_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,16,bf16,7.389088153839111,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,16,fp16,6.419695854187012,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,16,fp32,7.418255805969238,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,32,bf16,9.218640327453612,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,32,fp16,8.085920333862305,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,32,fp32,10.767040252685549,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,64,bf16,13.528719902038574,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,64,fp16,11.537903785705566,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,64,64,fp32,17.846832275390625,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,16,bf16,13.011712074279783,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,16,fp16,10.885600090026855,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,16,fp32,15.656975746154783,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,32,bf16,21.03193664550781,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,32,fp16,17.361488342285156,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,32,fp32,30.661888122558597,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,64,bf16,39.942657470703125,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,64,fp16,33.116878509521484,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,128,64,fp32,64.03569793701172,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,16,bf16,33.853294372558594,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,16,fp16,28.376304626464844,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,16,fp32,55.932430267333984,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,32,bf16,67.84246063232422,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,32,fp16,57.163455963134766,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,32,fp32,113.7929916381836,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,64,bf16,137.19619750976562,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,64,fp16,117.5163345336914,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_0_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,16,bf16,11.923824310302734,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,16,fp16,10.54145622253418,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,16,fp32,12.265071868896484,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,32,bf16,15.510031700134276,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,32,fp16,13.7566556930542,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,32,fp32,18.26881599426269,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,64,bf16,23.186464309692383,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,64,fp16,20.1397762298584,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,64,64,fp32,30.89324760437012,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,16,bf16,22.405935287475582,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,16,fp16,18.907615661621094,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,16,fp32,27.739904403686523,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,32,bf16,36.97740936279297,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,32,fp16,31.064048767089844,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,32,fp32,53.722206115722656,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,64,bf16,68.65894317626953,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,64,fp16,58.730464935302734,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,128,64,fp32,111.4651336669922,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,16,bf16,59.36019134521485,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,16,fp16,51.41913604736328,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,16,fp32,100.25331115722656,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,32,bf16,117.46395111083984,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,32,fp16,102.75382232666016,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,32,fp32,244.96055603027344,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,64,bf16,,True,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,64,fp16,,True,NVIDIA_GeForce_RTX_5070,12,
coatnet_1_rw_224,224,64,fp32,,True,NVIDIA_GeForce_RTX_5070,12,
coatnet_2_rw_224,64,16,bf16,16.536239624023438,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_2_rw_224,64,16,fp16,14.908559799194336,False,NVIDIA_GeForce_RTX_5070,12,
coatnet_2_rw_224,64,16,fp32,19.0076961517334,False,NVIDIA_GeForce_RTX_5070,12,
