gpu,arm,probe,dtype,size,direction,kind,causal,flops,ms,n_cards
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h12/12d64,fwd,,False,25769803776.0,0.7888224124908447,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h12/12d64,fwd,,True,12884901888.0,0.4783616065979004,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h12/12d64,fwd_bwd,,False,77309411328.0,3.2168959379196167,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h12/12d64,fwd_bwd,,True,38654705664.0,2.063607931137085,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h16/16d64,fwd,,False,8589934592.0,0.27105278968811036,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h16/16d64,fwd,,True,4294967296.0,0.1863679994236339,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h16/16d64,fwd_bwd,,False,25769803776.0,1.0928639769554138,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q1024k1024h16/16d64,fwd_bwd,,True,12884901888.0,0.7570772965749104,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q128k128h32/8d128,fwd,,False,4294967296.0,0.15562584766974816,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q128k128h32/8d128,fwd_bwd,,False,12884901888.0,1.2216320037841797,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q128k128h32/8d128,fwd_bwd,,True,6442450944.0,1.191424012184143,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h12/12d64,fwd,,False,1907539968.0,0.11977788280038272,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h12/12d64,fwd,,True,953769984.0,0.10762779336226613,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h12/12d64,fwd_bwd,,False,5722619904.0,0.5899520218372345,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h12/12d64,fwd_bwd,,True,2861309952.0,0.5050879716873169,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h16/1d128,fwd,,False,5086773248.0,0.252457594871521,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h16/1d128,fwd_bwd,,False,15260319744.0,1.4786560535430908,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h16/1d128,fwd_bwd,,True,7630159872.0,1.1849839687347412,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q197k197h32/32d80,fwd_bwd,,False,4768849920.0,0.5652480125427246,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h12/12d64,fwd,,False,103079215104.0,3.063699245452881,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h12/12d64,fwd,,True,51539607552.0,1.7211391448974611,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h12/12d64,fwd_bwd,,False,309237645312.0,11.674335956573486,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h12/12d64,fwd_bwd,,True,154618822656.0,6.77672004699707,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h32/8d128,fwd,,False,137438953472.0,4.066591835021972,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h32/8d128,fwd,,True,68719476736.0,2.156331253051758,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h32/8d128,fwd_bwd,,False,412316860416.0,15.43936014175415,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q2048k2048h32/8d128,fwd_bwd,,True,206158430208.0,8.735231876373291,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/4d64,fwd,,False,4294967296.0,0.14325028657913208,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/4d64,fwd_bwd,,False,12884901888.0,0.841386636098226,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/4d64,fwd_bwd,,True,6442450944.0,0.7311360041300456,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/8d64,fwd,,False,4294967296.0,0.14335199764796666,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/8d64,fwd_bwd,,False,12884901888.0,0.8434293270111084,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h32/8d64,fwd_bwd,,True,6442450944.0,0.7359146674474081,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h9/3d64,fwd,,False,603979776.0,0.026568925294790182,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h9/3d64,fwd,,True,301989888.0,0.026410896788846266,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h9/3d64,fwd_bwd,,False,1811939328.0,0.13527039686838788,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q256k256h9/3d64,fwd_bwd,,True,905969664.0,0.13417813777923582,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/1d64,fwd_bwd,,False,10871635968.0,0.624127984046936,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/1d64,fwd_bwd,,True,5435817984.0,0.5047000050544739,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/2d32,fwd_bwd,,False,10871635968.0,0.6600960195064545,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/2d32,fwd_bwd,,True,5435817984.0,0.5200640261173248,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d128,fwd,,False,14495514624.0,0.4655616044998169,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d128,fwd,,True,7247757312.0,0.28165119886398315,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d128,fwd_bwd,,False,43486543872.0,2.354688048362732,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d128,fwd_bwd,,True,21743271936.0,1.7343119978904724,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d64,fwd,,False,7247757312.0,0.23898561000823976,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d64,fwd_bwd,,False,21743271936.0,1.2200959920883179,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h12/4d64,fwd_bwd,,True,10871635968.0,0.9669653177261353,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q384k384h16/16d80,fwd_bwd,,False,4529848320.0,0.32723428521837505,18
